;;;;Jahres-;maximaler;Zahl der ;Zahl der ;;
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte;;
Station;Name/Messnetz;Umgebungstyp;Emissinsquelltyp;in µg/m³;in µg/m³;> 290 µg/m³;> 200 µg/m³;;
'DEMV012';Löcknitz;ländliches Gebiet;Hintergrund;10;55;0;0;;
'DEMV017';Göhlen;ländliches Gebiet;Hintergrund;11;52;0;0;;
'DEMV018';Zarrentin;vorstädtisches Gebiet;Hintergrund;12;67;0;0;;
;Niedersachsen;;;;;;;;
'DENI008';Braunschweig Verkehr;städtisches Gebiet;Verkehr;42;193;0;0;;
'DENI011';Braunschweig;vorstädtisches Gebiet;Hintergrund;17;82;0;0;;
'DENI016';Oker;vorstädtisches Gebiet;Industrie;11;68;0;0;;
'DENI019';Solling;ländlich abgelegen;Hintergrund;9;55;0;0;;
'DENI020';Wolfsburg ;vorstädtisches Gebiet;Industrie;21;93;0;0;;
'DENI028';Duderstadt;vorstädtisches Gebiet;Hintergrund;13;64;0;0;;
'DENI029';Ostfriesland;vorstädtisches Gebiet;Industrie;18;84;0;0;;
'DENI031';Jadebusen;vorstädtisches Gebiet;Industrie;11;60;0;0;;
'DENI036';Wesermündung;städtisches Gebiet;Industrie;18;81;0;0;;
'DENI038';Osnabrück;vorstädtisches Gebiet;Verkehr;23;122;0;0;;
'DENI041';Weserbergland;vorstädtisches Gebiet;Hintergrund;15;56;0;0;;
'DENI042';Göttingen ;vorstädtisches Gebiet;Verkehr;19;80;0;0;;
'DENI043';Emsland;vorstädtisches Gebiet;Industrie;16;73;0;0;;
'DENI048';Hannover Verkehr;städtisches Gebiet;Verkehr;54;145;0;0;;
'DENI051';Wurmberg;ländlich abgelegen;Hintergrund;7;70;0;0;;
'DENI052';Allertal;ländlich regional;Verkehr;14;62;0;0;;
'DENI053';Südoldenburg;ländlich regional;Hintergrund;17;68;0;0;;
'DENI054';Hannover;städtisches Gebiet;Hintergrund;26;89;0;0;;
'DENI058';Ostfriesische Inseln;ländlich abgelegen;Hintergrund;10;65;0;0;;
'DENI059';Elbmündung;ländliches regional;Hintergrund;10;72;0;0;;
'DENI060';Wendland;vorstädtisches Gebiet;Hintergrund;12;90;0;0;;
'DENI062';Lüneburger Heide;vorstädtisches Gebiet;Hintergrund;18;79;0;0;;
'DENI063';Altes Land;vorstädtisches Gebiet;Hintergrund;14;73;0;0;;
;Nordrhein-Westfalen;;;;;;;;
'DENW001';Werne-Evenkamp;vorstädtisches Gebiet;Hintergrund;21;101;0;0;;
'DENW002';Datteln-Hagem ;vorstädtisches Gebiet;Hintergrund;26;98;0;0;;
'DENW004';Castrop-Rauxel-Ickern;vorstädtisches Gebiet;Hintergrund;35;121;0;0;;
'DENW006';Lünen-Niederaden;vorstädtisches Gebiet;Hintergrund;29;160;0;0;;
'DENW008';Dortmund-Eving ;städtisches Gebiet;Hintergrund;29;124;0;0;;
'DENW010';Unna-Königsborn;vorstädtisches Gebiet;Hintergrund;25;159;0;0;;
'DENW011';Dortmund-Hörde;vorstädtisches Gebiet;Verkehr;30;139;0;0;;
'DENW012';Witten-Annen;vorstädtisches Gebiet;Verkehr;27;109;0;0;;
'DENW013';Schwerte;städtisches Gebiet;Hintergrund;30;119;0;0;;
'DENW015';Marl-Sickingmühle;vorstädtisches Gebiet;Hintergrund;28;112;0;0;;
'DENW018';Herten-Langenbochum;vorstädtisches Gebiet;Hintergrund;27;125;0;0;;
'DENW021';Bottrop-Welheim;städtisches Gebiet;Industrie;33;177;0;0;;
'DENW022';Gelsenkirchen-Bismarck;vorstädtisches Gebiet;Hintergrund;33;216;0;1;;
'DENW023';Herne-Süd;vorstädtisches Gebiet;Hintergrund;30;126;0;0;;
'DENW024';Essen-Vogelheim;vorstädtisches Gebiet;Hintergrund;33;171;0;0;;
'DENW028';Essen-Schuir (LUA) ;vorstädtisches Gebiet;Hintergrund;33;132;0;0;;
'DENW029';Hattingen-Blankenstein;vorstädtisches Gebiet;Hintergrund;25;95;0;0;;
'DENW030';Wesel-Feldmark;vorstädtisches Gebiet;Hintergrund;24;137;0;0;;
'DENW034';Duisburg-Walsum;städtisches Gebiet;Industrie;31;104;0;0;;
'DENW036';Moers-Meerbeck;vorstädtisches Gebiet;Hintergrund;29;116;0;0;;
'DENW037';Duisburg-Meiderich;vorstädtisches Gebiet;Verkehr;34;119;0;0;;
'DENW038';Mülheim-Styrum ;städtisches Gebiet;Hintergrund;36;166;0;0;;
'DENW039';Duisburg-Kaldenhausen;vorstädtisches Gebiet;Hintergrund;27;111;0;0;;
'DENW040';Duisburg-Buchholz;vorstädtisches Gebiet;Hintergrund;30;133;0;0;;
'DENW042';Krefeld-Linn;städtisches Gebiet;Hintergrund;31;125;0;0;;
'DENW043';Essen-Ost Steeler Str. ;städtisches Gebiet;Verkehr;43;133;0;0;;
'DENW047';Neuss;städtisches Gebiet;Hintergrund;31;129;0;0;;
'DENW048';Düsseldorf-Reisholz;vorstädtisches Gebiet;Hintergrund;38;151;0;0;;
'DENW050';Dormagen-Horrem;vorstädtisches Gebiet;Hintergrund;32;127;0;0;;
'DENW051';Langenfeld-Reusrath;vorstädtisches Gebiet;Hintergrund;31;142;0;0;;
'DENW053';Köln-Chorweiler;vorstädtisches Gebiet;Hintergrund;33;112;0;0;;
'DENW058';Hürth ;vorstädtisches Gebiet;Industrie;27;101;0;0;;
'DENW059';Köln-Rodenkirchen;vorstädtisches Gebiet;Hintergrund;33;165;0;0;;
'DENW060';Wesseling;vorstädtisches Gebiet;Verkehr;32;105;0;0;;
'DENW062';Bonn-Auerberg;vorstädtisches Gebiet;Hintergrund;33;158;0;0;;
'DENW063';Eggegebirge (Veldrom);ländlich regional;Hintergrund;11;90;0;0;;
'DENW064';Eifel (Simmerath);ländlich regional;Hintergrund;10;76;0;0;;
'DENW065';Rothaargebirge (Hilchenbach);ländlich regional;Hintergrund;9;77;0;0;;
'DENW066';Nettetal-Kaldenkirchen;ländlich stadtnah;Verkehr;24;96;0;0;;
'DENW067';Bielefeld-Ost;städtisches Gebiet;Hintergrund;26;121;0;0;;
