Stationscode;Name / Messnetz;Stationsumgebung;Art der Station;Jahres-mittelwert in µg/m³;"Zahl der Stundenwerte 
> 200 µg/m³";Stadt;;;;;
DEHE032;Bebra;städtisches Gebiet;Hintergrund;14;0;Bebra;;;;;
DEHE133;Bensheim Nibelungenstraße;städtisches Gebiet;Verkehr;39;--- 1);Bensheim;Nibelungenstraße;;;;
DEHE039;Burg Herzberg (Grebenau);ländliches Gebiet;Hintergrund;7;0;Burg;Herzberg;(Grebenau);;;
DEHE001;Darmstadt;städtisches Gebiet;Hintergrund;22;0;Darmstadt;;;;;
DEHE138;Darmstadt Heinrichstr. 5-7;städtisches Gebiet;Verkehr;42;--- 1);Darmstadt;Heinrichstr.;5;7;;
DEHE132;Darmstadt Hügelstraße 26;städtisches Gebiet;Verkehr;55;--- 1);Darmstadt;Hügelstraße;26;;;
DEHE040;Darmstadt-Hügelstraße;städtisches Gebiet;Verkehr;38;1;Darmstadt;Hügelstraße;;;;
DEHE136;Frankfurt Börneplatz;städtisches Gebiet;Verkehr;51;--- 1);Frankfurt;Börneplatz;;;;
DEHE141;Frankfurt Römerberg 27;städtisches Gebiet;Hintergrund;29;--- 1);Frankfurt;Römerberg;27;;;
DEHE041;Frankfurt-Friedb.Ldstr.;städtisches Gebiet;Verkehr;42;0;Frankfurt;Friedb.Ldstr.;;;;
DEHE005;Frankfurt-Höchst;städtisches Gebiet;Hintergrund;34;0;Frankfurt;Höchst;;;;
DEHE008;Frankfurt-Ost;städtisches Gebiet;Hintergrund;29;0;Frankfurt;Ost;;;;
DEHE140;Frankfurt-Riederwald Am Erlenbruch 130;städtisches Gebiet;Verkehr;50;--- 1);Frankfurt;Riederwald;Am;Erlenbruch;130;
DEHE139;Frankfurt-Riederwald Am Erlenbruch 80;städtisches Gebiet;Verkehr;44;--- 1);Frankfurt;Riederwald;Am;Erlenbruch;80;
DEHE145;Frankfurt-Riederwald, Haenischstraße 1;städtisches Gebiet;Hintergrund;25;--- 1);Frankfurt;Riederwald;Haenischstraße;1;;
DEHE059;Fulda-Petersberger Str.;städtisches Gebiet;Verkehr;38;0;Fulda;Petersberger;Str.;;;
DEHE134;Fulda-Zentral;städtisches Gebiet;Hintergrund;20;0;Fulda;Zentral;;;;
DEHE028;Fürth/Odenwald;ländliches Gebiet;Hintergrund;7;0;Fürth/Odenwald;;;;;
DEHE137;Gießen Johannette-Lein-Gasse 8;städtisches Gebiet;Hintergrund;24;--- 1);Gießen;Johannette;Lein;Gasse;8;
DEHE061;Gießen-Westanlage;städtisches Gebiet;Verkehr;40;0;Gießen;Westanlage;;;;
DEHE011;Hanau;städtisches Gebiet;Hintergrund;24;0;Hanau;;;;;
DEHE063;Heppenheim-Lehrstraße;städtisches Gebiet;Verkehr;30;0;Heppenheim;Lehrstraße;;;;
DEHE049;Kassel-Fünffenster-Str.;städtisches Gebiet;Verkehr;38;0;Kassel;Fünffenster;Str.;;;
DEHE013;Kassel-Mitte;städtisches Gebiet;Hintergrund;20;0;Kassel;Mitte;;;;
DEHE060;Kellerwald;ländlich regional;Hintergrund;6;0;Kellerwald;;;;;
DEHE052;Kleiner Feldberg;ländliches Gebiet;Hintergrund;6;0;Kleiner;Feldberg;;;;
DEHE044;Limburg;städtisches Gebiet;Hintergrund;22;0;Limburg;;;;;
DEHE098;Limburg Diezer Str. 49;städtisches Gebiet;Verkehr;33;--- 1);Limburg;Diezer;Str.;49;;
DEHE101;Limburg Frankfurter Str. 52;städtisches Gebiet;Verkehr;46;--- 1);Limburg;Frankfurter;Str.;52;;
DEHE099;Limburg Schiede 28-30;städtisches Gebiet;Verkehr;52;--- 1);Limburg;Schiede;28;30;;
DEHE100;Limburg Schiede 37-41;städtisches Gebiet;Verkehr;39;--- 1);Limburg;Schiede;37;41;;
DEHE131;Limburg-Schiede;städtisches Gebiet;Verkehr;42;0;Limburg;Schiede;;;;
DEHE042;Linden/Leihgestern;ländliches Gebiet;Hintergrund;15;0;Linden/Leihgestern;;;;;
DEHE030;Marburg;städtisches Gebiet;Hintergrund;21;0;Marburg;;;;;
DEHE142;Marburg Universitätsstraße 4;städtisches Gebiet;Verkehr;36;--- 1);Marburg;Universitätsstraße;4;;;
DEHE062;Marburg-Univers.Straße;städtisches Gebiet;Verkehr;29;0;Marburg;Univers.Straße;;;;
DEHE045;Michelstadt;städtisches Gebiet;Hintergrund;16;0;Michelstadt;;;;;
DEHE103;Offenbach Bieberer Str. 86;städtisches Gebiet;Verkehr;38;--- 1);Offenbach;Bieberer;Str.;86;;
DEHE104;Offenbach Mainstr. 133;städtisches Gebiet;Verkehr;45;--- 1);Offenbach;Mainstr.;133;;;
DEHE102;Offenbach Untere Grenzstr. 61;städtisches Gebiet;Verkehr;45;--- 1);Offenbach;Untere;Grenzstr.;61;;
DEHE116;Offenbach-Untere Grenzstraße;städtisches Gebiet;Verkehr;36;0;Offenbach;Untere;Grenzstraße;;;
DEHE018;Raunheim;städtisches Gebiet;Hintergrund;27;0;Raunheim;;;;;
DEHE043;Riedstadt;ländlich stadtnah;Hintergrund;16;0;Riedstadt;;;;;
DEHE111;Rüsselsheim Rugby-Ring;städtisches Gebiet;Verkehr;38;--- 1);Rüsselsheim;Rugby;Ring;;;
DEHE026;Spessart;ländlich regional;Hintergrund;6;0;Spessart;;;;;
DEHE051;Wasserkuppe;ländliches Gebiet;Hintergrund;4;0;Wasserkuppe;;;;;
DEHE020;Wetzlar;städtisches Gebiet;Hintergrund;28;0;Wetzlar;;;;;
DEHE105;Wetzlar Linsenbergstr.;städtisches Gebiet;Hintergrund;20;--- 1);Wetzlar;Linsenbergstr.;;;;
DEHE037;Wiesbaden-Ringkirche;städtisches Gebiet;Verkehr;44;0;Wiesbaden;Ringkirche;;;;
DEHE112;Wiesbaden-Schiersteiner Str.;städtisches Gebiet;Verkehr;45;0;Wiesbaden;Schiersteiner;Str.;;;
DEHE022;Wiesbaden-Süd;städtisches Gebiet;Hintergrund;26;0;Wiesbaden;Süd;;;;
DEHE024;Witzenhausen/Wald;ländliches Gebiet;Hintergrund;6;0;Witzenhausen/Wald;;;;;
